Date,Open,High,Low,Close,Adj Close,Volume
2024-01-24,39864.0,40529.5,39452.5,40056.0,40056.0,299006400
2024-01-25,40056.0,40279.0,39509.5,39919.0,39919.0,189820500
2024-01-26,39919.0,42224.5,39794.0,41795.0,41795.0,339110600
2024-01-27,41795.0,42186.0,41360.0,42102.5,42102.5,114733500
2024-01-28,42102.5,42822.5,41600.5,42015.0,42015.0,191502600
2024-01-29,42015.0,43300.0,41782.0,43296.0,43296.0,228747300
2024-01-30,43296.0,43850.5,42637.5,42916.5,42916.5,367396700
2024-01-31,42916.5,43752.0,42239.0,42527.0,42527.0,382790900
2024-02-01,42527.0,43260.0,41815.5,43050.0,43050.0,303554100
2024-02-02,43050.0,43443.0,42511.0,43156.5,43156.5,238671400
2024-02-03,43156.5,43339.5,42848.5,42975.5,42975.5,100060000
2024-02-04,42975.5,43083.5,42113.0,42540.5,42540.5,188915900
2024-02-05,42540.5,43550.0,42217.5,42652.0,42652.0,280650700
2024-02-06,42652.0,43370.5,42506.5,43076.0,43076.0,204476400
2024-02-07,43076.0,44386.0,42746.0,44325.0,44325.0,311060700
2024-02-08,44325.0,45632.0,44325.5,45292.5,45292.5,341653400
2024-02-09,45292.5,48220.0,45241.0,47154.0,47154.0,582195600
2024-02-10,47154.0,48197.5,46869.0,47765.0,47765.0,163160500
2024-02-11,47765.0,48620.0,47575.0,48329.5,48329.5,243914400
2024-02-12,48329.5,50433.0,47716.5,49973.0,49973.0,552043800
2024-02-13,49973.0,50443.5,48320.0,49740.0,49740.0,478164600
2024-02-14,49740.0,52118.5,49261.0,51856.0,51856.0,543109000
2024-02-15,51856.0,52885.0,51367.5,51971.0,51971.0,475656700
2024-02-16,51971.0,52660.0,51623.5,52167.0,52167.0,359856700
2024-02-17,52167.0,52217.5,50650.0,51695.5,51695.5,381300800
2024-02-18,51695.5,52478.0,51215.0,52175.0,52175.0,226943300
2024-02-19,52175.0,52540.0,51688.0,51798.0,51798.0,229903800
2024-02-20,51798.0,53080.5,50770.0,52312.0,52312.0,532542600
2024-02-21,52312.0,52417.5,50595.0,51898.0,51898.0,437424100
2024-02-22,51898.0,52087.5,50925.0,51289.0,51289.0,300171600
2024-02-23,51289.0,51531.5,50511.5,50729.0,50729.0,250049100
2024-02-24,50729.0,51734.0,50590.0,51596.5,51596.5,156508500
2024-02-25,51596.5,52066.0,51294.0,51746.5,51746.5,198832800
2024-02-26,51746.5,55016.5,50908.0,54557.5,54557.5,496554200
2024-02-27,54557.5,57646.0,54517.5,57112.0,57112.0,688728600
2024-02-28,57112.0,64391.0,56753.5,62532.0,62532.0,1243520600
2024-02-29,62532.0,63820.5,60408.0,61207.5,61207.5,781685300
2024-03-01,61207.5,63200.0,60837.0,62430.5,62430.5,426717900
2024-03-02,62430.5,62510.5,61678.0,62075.5,62075.5,214409800
2024-03-03,62075.5,63346.5,61388.0,63197.0,63197.0,295806900
2024-03-04,63197.0,68661.5,62370.5,68331.0,68331.0,954449500
2024-03-05,68331.0,69409.5,59283.0,63774.5,63774.5,1804724000
2024-03-06,63774.5,67739.5,62801.5,66093.0,66093.0,791738900
2024-03-07,66093.0,68132.0,65596.0,66961.5,66961.5,441552700
2024-03-08,66961.5,70449.5,66145.0,68260.0,68260.0,727958500
2024-03-09,68260.0,68701.5,68007.0,68476.5,68476.5,124894700
2024-03-10,68476.5,70117.0,68217.0,69028.0,69028.0,454685800
2024-03-11,69028.0,72850.0,67020.0,72181.0,72181.0,841325900
2024-03-12,72181.0,73232.5,68656.0,71500.0,71500.0,882409900
